,Condition,ICD10,ICD10QF,SMRType,FinancialYear,HBT2014,HBT2014QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
35,All alcohol conditions,,d z,SMR01,2016/17,S92000003,d,685.2,455.2,222.3,,36235.0,,24060.0,,11777.0,,1.5
302,All alcohol conditions,,d z,SMR01,2016/17,S08000015,,786.0,525.4,254.3,,2866.0,,1923.0,,933.0,,1.5
303,All alcohol conditions,,d z,SMR01,2016/17,S08000016,,450.3,323.0,163.4,,507.0,,365.0,,183.0,,1.4
304,All alcohol conditions,,d z,SMR01,2016/17,S08000017,,448.6,311.8,162.4,,666.0,,465.0,,239.0,,1.4
305,All alcohol conditions,,d z,SMR01,2016/17,S08000018,,641.1,455.2,244.4,,2344.0,,1663.0,,893.0,,1.4
306,All alcohol conditions,,d z,SMR01,2016/17,S08000019,,461.8,329.2,174.1,,1390.0,,985.0,,520.0,,1.4
307,All alcohol conditions,,d z,SMR01,2016/17,S08000020,,489.2,347.9,176.3,,2814.0,,2002.0,,1015.0,,1.4
308,All alcohol conditions,,d z,SMR01,2016/17,S08000021,,1062.5,676.0,308.6,,11613.0,,7356.0,,3387.0,,1.6
309,All alcohol conditions,,d z,SMR01,2016/17,S08000022,,624.8,452.8,225.2,,2067.0,,1493.0,,733.0,,1.4
310,All alcohol conditions,,d z,SMR01,2016/17,S08000023,,786.1,520.5,255.8,,5059.0,,3340.0,,1640.0,,1.5
311,All alcohol conditions,,d z,SMR01,2016/17,S08000024,,542.6,348.6,168.4,,4511.0,,2905.0,,1419.0,,1.6
312,All alcohol conditions,,d z,SMR01,2016/17,S08000025,,542.5,369.8,120.3,,127.0,,86.0,,28.0,,1.5
313,All alcohol conditions,,d z,SMR01,2016/17,S08000026,,603.4,470.9,271.1,,140.0,,109.0,,63.0,,1.3
314,All alcohol conditions,,d z,SMR01,2016/17,S08000027,,467.6,314.6,160.8,,1903.0,,1286.0,,662.0,,1.5
315,All alcohol conditions,,d z,SMR01,2016/17,S08000028,,805.8,559.5,239.9,,228.0,,157.0,,62.0,,1.5
905,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S92000003,d,140.0,76.9,20.7,,7437.0,,4074.0,,1088.0,,1.8
1172,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000015,,150.7,77.3,22.1,,563.0,,293.0,,86.0,,1.9
1173,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000016,,74.6,41.9,11.2,,88.0,,53.0,,14.0,,1.7
1174,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000017,,82.1,46.8,8.0,,123.0,,71.0,,13.0,,1.7
1175,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000018,,108.4,60.8,18.3,,405.0,,227.0,,68.0,,1.8
1176,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000019,,85.5,56.8,19.1,,257.0,,170.0,,56.0,,1.5
1177,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000020,,88.1,50.8,13.9,,506.0,,291.0,,79.0,,1.7
1178,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000021,,221.6,128.4,32.9,,2382.0,,1370.0,,345.0,,1.7
1179,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000022,,98.4,58.0,17.3,,345.0,,204.0,,62.0,,1.7
1180,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000023,,172.2,91.1,24.9,,1128.0,,594.0,,160.0,,1.9
1181,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000024,,144.0,71.6,18.2,,1158.0,,572.0,,145.0,,2.0
1182,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000025,,93.3,64.7,15.4,,23.0,,16.0,,,c,1.4
1183,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000026,,32.0,28.5,0.0,,8.0,,7.0,,0.0,,1.1
1184,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000027,,102.9,47.7,13.2,,429.0,,198.0,,54.0,,2.2
1185,Alcoholic Liver Disease (ALD): All,K70,d,SMR01,2016/17,S08000028,,77.6,59.7,8.1,,22.0,,17.0,,,c,1.3
1205,ALD - Fatty Liver,K70.0,,SMR01,2016/17,S92000003,d,5.5,4.8,1.4,,295.0,,254.0,,72.0,,1.2
1225,ALD - Alcoholic Hepatitis,K70.1,,SMR01,2016/17,S92000003,d,11.2,9.5,2.9,,598.0,,504.0,,157.0,,1.2
1245,ALD - Cirrhosis,"K70.2, K70.3",,SMR01,2016/17,S92000003,d,71.9,40.9,9.2,,3819.0,,2165.0,,481.0,,1.8
1512,ALD - Cirrhosis,"K70.2, K70.3",,SMR01,2016/17,S08000015,,57.1,31.2,8.2,,217.0,,119.0,,33.0,,1.8
1513,ALD - Cirrhosis,"K70.2, K70.3",,SMR01,2016/17,S08000016,,34.0,20.7,6.1,,40.0,,27.0,,8.0,,1.5
1514,ALD - Cirrhosis,"K70.2, K70.3",,SMR01,2016/17,S08000017,,31.9,20.5,2.8,,54.0,,35.0,,5.0,,1.5
