year,alcoholratio,code,condition,mentalratio,alcandmental
2011,67.18214897260275,S08000015,All alcohol conditions,32.10616438356164,35.075984589041106
2012,63.63538931461336,S08000015,All alcohol conditions,30.009109908365037,33.62627940624833
2013,57.38233397807866,S08000015,All alcohol conditions,25.521169138190412,31.86116483988825
2014,55.77410141725495,S08000015,All alcohol conditions,26.405130139569973,29.368971277684974
2015,52.75371704579184,S08000015,All alcohol conditions,24.015758655117516,28.737958390674322
2016,48.683074265975826,S08000015,All alcohol conditions,24.557426597582037,24.12564766839379
2017,51.915445047379926,S08000015,All alcohol conditions,23.757457951999136,28.15798709538079
2011,40.832455216016854,S08000016,All alcohol conditions,33.368458025992275,7.463997190024578
2012,44.40731621526557,S08000016,All alcohol conditions,31.656700668308122,12.750615546957444
2013,38.19810326659642,S08000016,All alcohol conditions,29.85598876009835,8.34211450649807
2014,37.70606804629954,S08000016,All alcohol conditions,28.06032970887408,9.645738337425463
2015,33.58765237218276,S08000016,All alcohol conditions,26.30886608787161,7.278786284311149
2016,31.170872260543092,S08000016,All alcohol conditions,26.194010302977386,4.976861957565706
2017,31.733611545818118,S08000016,All alcohol conditions,26.95183446357155,4.781777082246567
2011,37.05171388943927,S08000017,All alcohol conditions,33.68337626312661,3.368337626312659
2012,36.92654468310793,S08000017,All alcohol conditions,31.158843808008484,5.767700875099443
2013,34.40244876231036,S08000017,All alcohol conditions,27.947830715996805,6.454618046313552
2014,35.60949586556415,S08000017,All alcohol conditions,27.340624166444382,8.268871699119767
2015,29.665263579875724,S08000017,All alcohol conditions,28.061735818801363,1.6035277610743606
2016,33.44034242910647,S08000017,All alcohol conditions,25.41466024612092,8.025682182985552
2017,31.16621983914209,S08000017,All alcohol conditions,24.128686327077748,7.037533512064343
2011,41.96550780180674,S08000018,All alcohol conditions,27.922255680262797,14.04325212154394
2012,40.987411594440346,S08000018,All alcohol conditions,27.57980393763141,13.407607656808935
2013,44.289997274461705,S08000018,All alcohol conditions,26.165167620605068,18.124829653856636
2014,44.32947583390062,S08000018,All alcohol conditions,25.59564329475834,18.733832539142277
2015,43.65898717670072,S08000018,All alcohol conditions,25.80960660725929,17.84938056944143
2016,42.93467988010693,S08000018,All alcohol conditions,25.92282558798909,17.011854292117835
2017,44.77531568886137,S08000018,All alcohol conditions,25.308957755580085,19.466357933281284
2011,28.918411164787976,S08000019,All alcohol conditions,27.17391304347826,1.7444981213097144
2012,32.130796750142096,S08000019,All alcohol conditions,25.74475910261125,6.386037647530845
2013,31.56805819735042,S08000019,All alcohol conditions,27.029732705976574,4.538325491373847
2014,32.88948069241012,S08000019,All alcohol conditions,27.96271637816245,4.9267643142476665
2015,31.951098628779118,S08000019,All alcohol conditions,27.4244176441434,4.526680984635718
2016,34.058066211245404,S08000019,All alcohol conditions,29.887020493956907,4.1710457172884965
2017,32.23378493356895,S08000019,All alcohol conditions,29.452189279403104,2.7815956541658444
2011,40.942448821938974,S08000020,All alcohol conditions,24.57951473015204,16.362934091786933
2012,40.91384722706662,S08000020,All alcohol conditions,25.46215556330659,15.451691663760027
2013,36.27417127071823,S08000020,All alcohol conditions,25.897790055248617,10.37638121546961
2014,35.72284413405909,S08000020,All alcohol conditions,24.30591215637945,11.416931977679639
2015,33.54768466537375,S08000020,All alcohol conditions,22.285733728011976,11.261950937361775
2016,33.48070056112906,S08000020,All alcohol conditions,22.27512327835402,11.205577282775042
2017,34.141682867764935,S08000020,All alcohol conditions,21.146696681332923,12.994986186432012
2011,69.96653161881275,S08000021,All alcohol conditions,32.235335564558746,37.731196054254006
2012,67.51837653430873,S08000021,All alcohol conditions,32.532620546548024,34.985755987760704
2013,60.320584926884145,S08000021,All alcohol conditions,33.57002249718785,26.750562429696295
2014,60.42412413901749,S08000021,All alcohol conditions,33.7828967521158,26.64122738690169
2015,58.75344598178956,S08000021,All alcohol conditions,34.612006365826296,24.141439615963264
2016,60.27364233620638,S08000021,All alcohol conditions,33.75323970827557,26.520402627930807
2017,62.91965683297551,S08000021,All alcohol conditions,32.58889240533397,30.33076442764154
2011,53.25498974072001,S08000022,All alcohol conditions,32.3322763166076,20.922713424112416
2012,50.96935584740463,S08000022,All alcohol conditions,31.269543464665414,19.699812382739214
2013,48.78808648513926,S08000022,All alcohol conditions,30.21995139884105,18.56813508629821
2014,47.7660337355408,S08000022,All alcohol conditions,30.555295731612258,17.210738003928544
2015,47.50778816199377,S08000022,All alcohol conditions,28.348909657320874,19.1588785046729
2016,48.30692761727245,S08000022,All alcohol conditions,27.648337993165576,20.658589624106874
2017,46.36789962421194,S08000022,All alcohol conditions,25.466629398428523,20.901270225783414
2011,42.44805254596237,S08000023,All alcohol conditions,27.316534176360456,15.131518369601913
2012,47.62196804759131,S08000023,All alcohol conditions,26.831437245101345,20.790530802489965
2013,45.64887601710109,S08000023,All alcohol conditions,26.662989013009703,18.985887004091385
2014,48.15551813868054,S08000023,All alcohol conditions,22.195009949487222,25.96050818919332
2015,47.090100689086164,S08000023,All alcohol conditions,20.168375376247155,26.92172531283901
2016,47.84535941141525,S08000023,All alcohol conditions,20.106932321893705,27.738427089521547
2017,50.74985185297738,S08000023,All alcohol conditions,20.20877334265267,30.54107851032471
2011,42.33752883661443,S08000024,All alcohol conditions,28.68720192204253,13.650326914571902
2012,41.80197691231896,S08000024,All alcohol conditions,29.39294095337426,12.409035958944703
2013,40.50746128136327,S08000024,All alcohol conditions,28.479969872428565,12.027491408934704
2014,39.411737286160445,S08000024,All alcohol conditions,28.201183983592035,11.21055330256841
2015,37.439502189444575,S08000024,All alcohol conditions,26.042867020050704,11.396635169393871
2016,35.47727272727273,S08000024,All alcohol conditions,26.363636363636363,9.113636363636363
2017,32.660632975434254,S08000024,All alcohol conditions,25.071673506099277,7.588959469334977
2011,67.22689075630252,S08000025,All alcohol conditions
2012,69.67022758941012,S08000025,All alcohol conditions
2013,67.25417439703155,S08000025,All alcohol conditions
2014,59.3141797961075,S08000025,All alcohol conditions
2015,52.607291185971384,S08000025,All alcohol conditions
2016,49.4279176201373,S08000025,All alcohol conditions
2017,39.090909090909086,S08000025,All alcohol conditions
2011,46.901893287435456,S08000026,All alcohol conditions
2012,63.76561826798794,S08000026,All alcohol conditions
2013,51.293103448275865,S08000026,All alcohol conditions
2014,52.540913006029285,S08000026,All alcohol conditions
2015,45.689655172413794,S08000026,All alcohol conditions
2016,44.82758620689655,S08000026,All alcohol conditions
2017,47.22703639514731,S08000026,All alcohol conditions
2011,40.19500304692261,S08000027,All alcohol conditions,35.100548446069475,5.094454600853133
2012,35.629280613979695,S08000027,All alcohol conditions,33.75916840724729,1.8701122067324079
2013,34.81657608695652,S08000027,All alcohol conditions,33.72476708074534,1.0918090062111858
2014,35.08941517641373,S08000027,All alcohol conditions,34.31609473175447,0.7733204446592623
2015,35.8760601387818,S08000027,All alcohol conditions,36.622976098689286,0.7469159599074828
2016,30.808481960189663,S08000027,All alcohol conditions,37.06645485835319,6.257972898163526
2017,30.90677497656757,S08000027,All alcohol conditions,37.73222139440986,6.825446417842294
2011,72.950523654749,S08000028,All alcohol conditions,18.057060310581438,54.89346334416757
2012,70.0290275761974,S08000028,All alcohol conditions,21.77068214804064,48.25834542815676
2013,66.42335766423358,S08000028,All alcohol conditions,18.248175182481752,48.175182481751825
2014,70.45871559633028,S08000028,All alcohol conditions,14.678899082568808,55.779816513761475
2015,50.24011821204285,S08000028,All alcohol conditions,11.082379017362396,39.15773919468046
2016,58.7360594795539,S08000028,All alcohol conditions,11.152416356877323,47.58364312267658
2017,58.25602968460112,S08000028,All alcohol conditions,11.131725417439704,47.12430426716141
