Condition,ICD10,ICD10QF,SMRType,FinancialYear,HBT2014,HBT2014QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
All alcohol conditions,,d z,SMR01,1981/82,S92000003,d,156.6,138.3,,:,7251,,6433,,,:,1.1
All alcohol conditions,,d z,SMR01,1982/83,S92000003,d,154.4,135.8,,:,7145,,6300,,,:,1.1
All alcohol conditions,,d z,SMR01,1983/84,S92000003,d,170,145.8,,:,7846,,6763,,,:,1.2
All alcohol conditions,,d z,SMR01,1984/85,S92000003,d,184.4,158.3,,:,8577,,7414,,,:,1.2
All alcohol conditions,,d z,SMR01,1985/86,S92000003,d,207,176.9,,:,9534,,8190,,,:,1.2
All alcohol conditions,,d z,SMR01,1986/87,S92000003,d,214.9,183,,:,9939,,8514,,,:,1.2
All alcohol conditions,,d z,SMR01,1987/88,S92000003,d,247.2,208.4,,:,11582,,9839,,,:,1.2
All alcohol conditions,,d z,SMR01,1988/89,S92000003,d,254.6,211.7,,:,11786,,9855,,,:,1.2
All alcohol conditions,,d z,SMR01,1989/90,S92000003,d,271.4,227.4,,:,12604,,10582,,,:,1.2
All alcohol conditions,,d z,SMR01,1990/91,S92000003,d,290.4,241.7,,:,13533,,11306,,,:,1.2
All alcohol conditions,,d z,SMR01,1991/92,S92000003,d,326.6,265.5,179.2,,15157,,12369,,8492,,1.2
All alcohol conditions,,d z,SMR01,1992/93,S92000003,d,368.9,296.8,200.4,,17202,,13912,,9537,,1.2
All alcohol conditions,,d z,SMR01,1993/94,S92000003,d,381.2,305,201,,17759,,14292,,9565,,1.2
All alcohol conditions,,d z,SMR01,1994/95,S92000003,d,427.6,338.8,220.1,,20028,,15917,,10502,,1.3
All alcohol conditions,,d z,SMR01,1995/96,S92000003,d,514,398,256.4,,24161,,18806,,12336,,1.3
All alcohol conditions,,d z,SMR01,1996/97,S92000003,d,584.2,445.9,280.1,,27487,,21070,,13469,,1.3
All alcohol conditions,,d z,SMR01,1997/98,S92000003,d,629.4,471.8,291.7,,29694,,22382,,14089,,1.3
All alcohol conditions,,d z,SMR01,1998/99,S92000003,d,645.1,480.4,288.1,,30565,,22828,,13924,,1.3
All alcohol conditions,,d z,SMR01,1999/00,S92000003,d,686.1,504.1,295,,32591,,24023,,14246,,1.4
All alcohol conditions,,d z,SMR01,2000/01,S92000003,d,677.7,492.1,276.2,,32388,,23547,,13418,,1.4
All alcohol conditions,,d z,SMR01,2001/02,S92000003,d,713.9,515.7,290.6,,34320,,24826,,14173,,1.4
All alcohol conditions,,d z,SMR01,2002/03,S92000003,d,743.3,532.7,295.4,,35916,,25761,,14452,,1.4
All alcohol conditions,,d z,SMR01,2003/04,S92000003,d,740.8,526.9,282.6,,35819,,25464,,13790,,1.4
All alcohol conditions,,d z,SMR01,2004/05,S92000003,d,795.5,555.9,306.5,,38534,,26951,,14974,,1.4
All alcohol conditions,,d z,SMR01,2005/06,S92000003,d,779.5,543.2,290.5,,38279,,26690,,14420,,1.4
All alcohol conditions,,d z,SMR01,2006/07,S92000003,d,809.4,557.7,293.7,,40175,,27681,,14717,,1.5
All alcohol conditions,,d z,SMR01,2007/08,S92000003,d,855.5,578.1,307.6,,43040,,29136,,15688,,1.5
All alcohol conditions,,d z,SMR01,2008/09,S92000003,d,828.1,560.6,290.3,,41981,,28423,,14862,,1.5
All alcohol conditions,,d z,SMR01,2009/10,S92000003,d,771.5,521.2,259.9,,39344,,26597,,13350,,1.5
All alcohol conditions,,d z,SMR01,2010/11,S92000003,d,759.7,510.5,256,,38970,,26244,,13264,,1.5
All alcohol conditions,,d z,SMR01,2011/12,S92000003,d,750,502.3,252.3,,38817,,26049,,13165,,1.5
All alcohol conditions,,d z,SMR01,2012/13,S92000003,d,698.8,469.9,232.4,,36210,,24409,,12134,,1.5
All alcohol conditions,,d z,SMR01,2013/14,S92000003,d,706.6,470.4,232.4,,36726,,24513,,12170,,1.5
All alcohol conditions,,d z,SMR01,2014/15,S92000003,d,676.4,453.6,221.2,,35311,,23709,,11617,,1.5
All alcohol conditions,,d z,SMR01,2015/16,S92000003,d,673.2,450,218.5,,35376,,23656,,11517,,1.5
All alcohol conditions,,d z,SMR01,2016/17,S92000003,d,685.2,455.2,222.3,,36235,,24060,,11777,,1.5
All alcohol conditions,,d z,SMR01,1997/98,S08000015,,722.4,538.1,,:,2549,,1914,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000016,,463.7,350.7,,:,469,,354,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000017,,458.4,350.2,,:,663,,505,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000018,,492.5,384.3,,:,1602,,1269,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000019,,410.9,317.4,,:,1056,,817,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000020,,495.7,386.1,,:,2529,,1986,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000021,,939.5,699.3,,:,9518,,7121,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000022,,713.4,542,,:,2052,,1563,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000023,,457.6,361.1,,:,2652,,2086,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000024,,639.6,454.6,,:,4459,,3185,,,:,1.4
All alcohol conditions,,d z,SMR01,1997/98,S08000025,,584.9,471.8,,:,112,,90,,,:,1.2
All alcohol conditions,,d z,SMR01,1997/98,S08000026,,554.4,346.6,,:,119,,75,,,:,1.6
All alcohol conditions,,d z,SMR01,1997/98,S08000027,,433.6,337.5,,:,1653,,1296,,,:,1.3
All alcohol conditions,,d z,SMR01,1997/98,S08000028,,972,703.5,,:,261,,190,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S08000015,,740.9,550,,:,2613,,1942,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000016,,457.7,334.9,,:,463,,340,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S08000017,,509.6,383.1,,:,732,,549,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000018,,446.2,355.8,,:,1459,,1175,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S08000019,,464.3,351.2,,:,1204,,915,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000020,,498,373.6,,:,2528,,1905,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000021,,943.2,697,,:,9608,,7129,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000022,,772.4,576.9,,:,2247,,1680,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000023,,516.8,402,,:,2993,,2322,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000024,,633.2,456.8,,:,4453,,3221,,,:,1.4
All alcohol conditions,,d z,SMR01,1998/99,S08000025,,517.3,419.3,,:,98,,80,,,:,1.2
All alcohol conditions,,d z,SMR01,1998/99,S08000026,,589.9,413.7,,:,128,,87,,,:,1.5
All alcohol conditions,,d z,SMR01,1998/99,S08000027,,448.8,348.8,,:,1707,,1333,,,:,1.3
All alcohol conditions,,d z,SMR01,1998/99,S08000028,,1247.4,879.6,,:,332,,234,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000015,,751.7,561.3,,:,2667,,2000,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S08000016,,497.2,358,,:,497,,359,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000017,,480.3,364.7,,:,689,,523,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S08000018,,508.6,372.1,,:,1675,,1232,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000019,,451.3,341.8,,:,1176,,893,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S08000020,,565.6,420.1,,:,2883,,2150,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S08000021,,992.7,732.2,,:,10116,,7493,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000022,,856.8,606.4,,:,2503,,1767,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000023,,584,446.4,,:,3389,,2584,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S08000024,,617,444.7,,:,4337,,3140,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000025,,558.1,482.5,,:,103,,89,,,:,1.2
All alcohol conditions,,d z,SMR01,1999/00,S08000026,,467.6,323,,:,108,,75,,,:,1.4
All alcohol conditions,,d z,SMR01,1999/00,S08000027,,542.7,405.7,,:,2049,,1536,,,:,1.3
All alcohol conditions,,d z,SMR01,1999/00,S08000028,,1493.3,973.8,,:,399,,260,,,:,1.5
All alcohol conditions,,d z,SMR01,2000/01,S08000015,,735.8,530.4,,:,2605,,1889,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000016,,506.2,356.5,,:,517,,363,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000017,,558.4,394,,:,800,,560,,,:,1.4
All alcohol conditions,,d z,SMR01,2000/01,S08000018,,515.3,370.5,,:,1713,,1237,,,:,1.4
