year,alcoholratio,code,condition,mentalratio
2011,0.6718214897260274,S08000015,All alcohol conditions,0.3210616438356164
2012,0.6363538931461337,S08000015,All alcohol conditions,0.3000910990836504
2013,0.5738233397807866,S08000015,All alcohol conditions,0.25521169138190414
2014,0.5577410141725495,S08000015,All alcohol conditions,0.2640513013956997
2015,0.5275371704579184,S08000015,All alcohol conditions,0.24015758655117517
2016,0.48683074265975823,S08000015,All alcohol conditions,0.24557426597582038
2017,0.5191544504737993,S08000015,All alcohol conditions,0.23757457951999136
2011,0.40832455216016855,S08000016,All alcohol conditions,0.3336845802599227
2012,0.4440731621526557,S08000016,All alcohol conditions,0.31656700668308124
2013,0.38198103266596417,S08000016,All alcohol conditions,0.2985598876009835
2014,0.37706068046299546,S08000016,All alcohol conditions,0.28060329708874077
2015,0.3358765237218276,S08000016,All alcohol conditions,0.26308866087871613
2016,0.3117087226054309,S08000016,All alcohol conditions,0.2619401030297739
2017,0.3173361154581812,S08000016,All alcohol conditions,0.2695183446357155
2011,0.3705171388943927,S08000017,All alcohol conditions,0.3368337626312661
2012,0.3692654468310793,S08000017,All alcohol conditions,0.31158843808008485
2013,0.34402448762310356,S08000017,All alcohol conditions,0.2794783071599681
2014,0.3560949586556415,S08000017,All alcohol conditions,0.2734062416644438
2015,0.2966526357987572,S08000017,All alcohol conditions,0.28061735818801364
2016,0.33440342429106473,S08000017,All alcohol conditions,0.2541466024612092
2017,0.3116621983914209,S08000017,All alcohol conditions,0.2412868632707775
2011,0.4196550780180674,S08000018,All alcohol conditions,0.279222556802628
2012,0.4098741159444035,S08000018,All alcohol conditions,0.27579803937631414
2013,0.44289997274461707,S08000018,All alcohol conditions,0.2616516762060507
2014,0.44329475833900617,S08000018,All alcohol conditions,0.2559564329475834
2015,0.4365898717670072,S08000018,All alcohol conditions,0.2580960660725929
2016,0.4293467988010693,S08000018,All alcohol conditions,0.2592282558798909
2017,0.44775315688861367,S08000018,All alcohol conditions,0.25308957755580086
2011,0.28918411164787977,S08000019,All alcohol conditions,0.2717391304347826
2012,0.321307967501421,S08000019,All alcohol conditions,0.25744759102611253
2013,0.3156805819735042,S08000019,All alcohol conditions,0.2702973270597658
2014,0.3288948069241012,S08000019,All alcohol conditions,0.2796271637816245
2015,0.3195109862877912,S08000019,All alcohol conditions,0.274244176441434
2016,0.340580662112454,S08000019,All alcohol conditions,0.29887020493956906
2017,0.3223378493356895,S08000019,All alcohol conditions,0.294521892794031
2011,0.4094244882193897,S08000020,All alcohol conditions,0.2457951473015204
2012,0.4091384722706662,S08000020,All alcohol conditions,0.25462155563306593
2013,0.3627417127071823,S08000020,All alcohol conditions,0.25897790055248615
2014,0.35722844134059084,S08000020,All alcohol conditions,0.24305912156379447
2015,0.3354768466537375,S08000020,All alcohol conditions,0.22285733728011978
2016,0.33480700561129056,S08000020,All alcohol conditions,0.2227512327835402
2017,0.34141682867764933,S08000020,All alcohol conditions,0.21146696681332922
2011,0.6996653161881276,S08000021,All alcohol conditions,0.3223533556455875
2012,0.6751837653430873,S08000021,All alcohol conditions,0.32532620546548024
2013,0.6032058492688415,S08000021,All alcohol conditions,0.3357002249718785
2014,0.6042412413901749,S08000021,All alcohol conditions,0.3378289675211581
2015,0.5875344598178956,S08000021,All alcohol conditions,0.346120063658263
2016,0.6027364233620638,S08000021,All alcohol conditions,0.33753239708275573
2017,0.6291965683297551,S08000021,All alcohol conditions,0.3258889240533397
