"FinancialYear","HBT2014","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents"
"1997/98","S08000015",2640,2660,2480,1780,500
"1997/98","S08000016",680,700,640,450,130
"1997/98","S08000017",850,860,800,640,270
"1997/98","S08000018",1910,1930,1730,1260,500
"1997/98","S08000019",1590,1640,1430,1050,390
"1997/98","S08000020",2370,2430,2270,1740,650
"1997/98","S08000021",8630,8690,7810,5950,2200
"1997/98","S08000022",2060,2080,1930,1470,350
"1997/98","S08000023",2570,2520,2300,1750,680
"1997/98","S08000024",5480,5540,5160,3540,1140
"1997/98","S08000027",2960,2980,2690,2040,780
"1997/98","S08000028",180,190,180,110,30
"1997/98","SB0802",80,80,40,80,230
"1998/99","S08000015",2680,2700,2550,1810,470
"1998/99","S08000016",640,650,590,450,120
"1998/99","S08000017",830,870,790,650,230
"1998/99","S08000018",1960,1980,1770,1290,480
"1998/99","S08000019",1390,1450,1250,980,330
"1998/99","S08000020",2690,2720,2450,1870,610
"1998/99","S08000021",8090,8290,7540,5820,2010
"1998/99","S08000022",2080,2080,2000,1450,360
"1998/99","S08000023",2790,2810,2530,1910,670
"1998/99","S08000024",5330,5400,4920,3440,1070
"1998/99","S08000027",2920,3000,2660,2080,700
"1998/99","S08000028",50,40,40,40,40
"1998/99","SB0802",80,60,30,60,250
"1999/00","S08000015",2440,2460,2300,1630,450
"1999/00","S08000016",660,660,550,440,120
"1999/00","S08000017",720,760,700,570,200
"1999/00","S08000018",1870,1900,1670,1240,450
"1999/00","S08000019",1190,1220,1060,860,300
"1999/00","S08000020",2540,2530,2260,1720,610
"1999/00","S08000021",8300,8400,7460,5900,1910
"1999/00","S08000022",2180,2180,2100,1530,350
"1999/00","S08000023",2940,2970,2620,2040,630
"1999/00","S08000024",5190,5300,4760,3440,970
"1999/00","S08000027",2670,2720,2460,1930,640
"1999/00","S08000028",180,180,170,110,30
"1999/00","SB0802",70,80,40,80,240
"2000/01","S08000015",2330,2350,2190,1580,420
"2000/01","S08000016",630,620,550,420,130
"2000/01","S08000017",820,860,760,630,160
"2000/01","S08000018",1710,1730,1540,1170,430
"2000/01","S08000019",1310,1300,1110,870,320
"2000/01","S08000020",2670,2700,2240,1730,570
"2000/01","S08000021",7940,8030,7250,5610,1820
"2000/01","S08000022",2340,2340,2090,1540,360
"2000/01","S08000023",2970,2970,2590,1980,630
"2000/01","S08000024",4930,4970,4370,3260,930
"2000/01","S08000027",2620,2660,2410,1840,600
"2000/01","S08000028",190,190,170,110,30
"2000/01","SB0802",100,110,40,100,230
"2001/02","S08000015",2290,2330,2140,1550,390
"2001/02","S08000016",650,660,590,460,110
"2001/02","S08000017",770,780,710,570,150
"2001/02","S08000018",1840,1840,1550,1220,420
"2001/02","S08000019",1280,1300,1140,890,290
"2001/02","S08000020",2470,2500,2140,1600,560
"2001/02","S08000021",7650,7710,6780,5320,1760
"2001/02","S08000022",1950,1990,1920,1410,310
"2001/02","S08000023",2900,2920,2570,2000,600
"2001/02","S08000024",5140,5170,4490,3340,900
"2001/02","S08000027",2590,2640,2330,1810,550
"2001/02","S08000028",180,180,170,100,40
"2001/02","SB0802",160,150,40,140,230
"2002/03","S08000015",2070,2100,1960,1460,360
"2002/03","S08000016",690,700,620,470,110
"2002/03","S08000017",760,760,720,560,140
"2002/03","S08000018",1790,1880,1650,1230,330
"2002/03","S08000019",1340,1320,1130,920,310
"2002/03","S08000020",2320,2350,2100,1640,520
"2002/03","S08000021",7270,7320,6590,5220,1700
"2002/03","S08000022",2000,2000,1920,1420,310
"2002/03","S08000023",2970,3010,2700,2140,570
"2002/03","S08000024",5100,5130,4460,3330,870
"2002/03","S08000027",2300,2350,2080,1680,500
"2002/03","S08000028",180,180,170,100,40
"2002/03","SB0802",260,260,40,170,240
"2003/04","S08000015",2050,2040,1900,1440,360
"2003/04","S08000016",760,760,670,480,120
"2003/04","S08000017",770,790,720,550,120
"2003/04","S08000018",1790,1750,1560,1190,370
"2003/04","S08000019",1360,1380,1150,920,290
"2003/04","S08000020",2390,2420,2110,1660,480
"2003/04","S08000021",6930,7070,6230,5080,1560
"2003/04","S08000022",1850,1870,1790,1400,290
"2003/04","S08000023",2890,2880,2520,2070,580
"2003/04","S08000024",4800,4790,4140,3230,880
"2003/04","S08000027",2390,2390,2100,1710,490
"2003/04","S08000028",190,180,180,110,40
"2003/04","SB0802",270,280,50,160,230
"2004/05","S08000015",2070,2060,1900,1430,370
"2004/05","S08000016",770,780,690,500,110
"2004/05","S08000017",730,720,670,520,130
"2004/05","S08000018",1660,1680,1490,1170,350
"2004/05","S08000019",1390,1400,1120,950,280
"2004/05","S08000020",2180,2180,1900,1530,490
"2004/05","S08000021",6720,6810,6020,4860,1470
"2004/05","S08000022",1660,1660,1610,1240,300
"2004/05","S08000023",2860,2910,2600,2100,520
"2004/05","S08000024",4760,4840,4170,3150,800
"2004/05","S08000027",2130,2210,1900,1600,410
"2004/05","S08000028",160,160,150,100,40
"2004/05","SB0802",310,310,30,170,230
"2005/06","S08000015",1930,1950,1750,1370,340
"2005/06","S08000016",630,630,550,420,110
"2005/06","S08000017",700,680,630,510,150
"2005/06","S08000018",1770,1800,1580,1250,320
"2005/06","S08000019",1260,1280,1000,850,250
"2005/06","S08000020",1940,1990,1770,1480,440
"2005/06","S08000021",6680,6720,5970,4800,1430
"2005/06","S08000022",1420,1450,1410,1100,270
"2005/06","S08000023",2640,2650,2340,1870,510
"2005/06","S08000024",4560,4640,4060,3070,730
"2005/06","S08000027",2140,2160,1960,1560,390
"2005/06","S08000028",160,170,160,120,40
"2005/06","SB0802",210,230,50,150,210
"2006/07","S08000015",1750,1760,1580,1250,330
"2006/07","S08000016",800,800,700,440,110
"2006/07","S08000017",610,640,600,490,120
"2006/07","S08000018",1640,1630,1450,1120,330
"2006/07","S08000019",1170,1180,960,810,240
"2006/07","S08000020",1980,2020,1790,1520,410
